Name,B3PW91-D3,CAM-B3LYP-D3,M06-D3,M06L-D3,M062X,M062X-def2TZVP,MN15L,MN15,PBE0-D3,PBE-D3,PW6B95D3,TPSS-D3,TPSSh,wB97XD,wB97M-V,DLPNO,Test
B_00388_L_00001_Cl_00475,14.29490493754713,17.72711031255284,12.844305030093324,12.59064944999011,18.110808365096887,18.710687697479216,17.25700990254495,17.489904645122465,15.200137692545468,11.072964145029971,15.164879095104311,11.935666205018265,16.499818830041022,17.037896315042076,17.223896052952625,19.365897776950476,14.91429701
B_00388_L_00001_Cl_00477,11.698844567450237,15.04223484753993,10.493207482502385,10.361165167523154,15.346656432523105,16.113639014918704,14.67803070993682,14.869297729943014,12.557834965026018,8.588676585040957,12.587503164876921,9.426432382464895,13.857167840137663,14.203101687486424,14.647397858031468,17.045839813032444,13.04671018
B_00388_L_00001_Cl_00490,10.82290351257484,13.830106275043192,9.908927172588733,9.655441017619921,14.400087115013207,15.061731900019026,13.974773262557108,14.013671987525242,11.750179087524373,7.716276512528282,11.690387122575316,8.482412597601297,12.81235272999993,13.167636327560501,13.75464864577566,15.974017522983956,11.92028493
B_00388_L_00001_Cl_00506,14.496259647594343,17.396308627544954,11.790783357575663,11.562107297541786,17.05543054751928,17.515203562524277,15.135938167552752,15.78249095007834,15.15680317011828,11.660435292513682,15.12571431002499,12.466406332569875,16.78334466499848,16.883408325020355,16.383314444745167,18.9935082408104,13.15237804
B_00388_L_00001_Cl_00519,6.225824707485117,9.10327678499442,3.8096208975025547,4.237206300048513,9.243856864997895,9.804056234970062,7.642530202552678,8.459896015023958,6.706910760025835,2.931302872439403,7.233415889920991,4.229552682519397,8.261134762515212,8.354546295046248,8.924052541653396,11.124081979361051,5.8188075
B_00388_L_00069_Cl_00490,15.196255350154502,18.814083382576143,15.25713728263355,14.934925445098486,19.76354045500841,21.25942390010863,21.451150877601606,20.86992147259707,16.59472506753076,12.16246415758178,16.54115476505922,12.125785527605615,17.231455592490477,18.849498227505705,20.87455170660803,21.75793173654654,17.62119773
B_00388_L_00072_Cl_00490,17.56645023260006,21.23292834016354,19.049946200082672,17.659229872679134,22.25007132767189,24.256398412524334,21.970434110110375,22.616623570054628,19.221505327556656,15.00317360014975,17.830094357580037,14.543192882558458,21.261944567632156,21.324313047584837,23.483983348634183,23.808544215424376,20.1163699
B_00388_L_00072_Cl_00519,10.903536007634216,15.330306920001249,10.452547992535699,9.582560029981835,15.79107577753291,17.2700882574901,12.615140775014595,14.940456857527806,12.250503662496044,7.913960347445652,11.430082552519423,7.94488480249413,15.015581157483666,15.05495427249997,16.86217440700716,16.324628554558558,12.5135046
B_00391_L_00033_Cl_00477,16.537402315221357,20.52402025504591,17.088204872694064,16.019432440162973,20.937951257532177,22.23749371756753,22.00325675241686,22.417933852645433,17.97681389757429,13.974130702717957,17.861380880080446,13.37563940006703,19.171006637560595,20.54444224258816,21.472213334907906,-280278.2535082841,19.38039397
B_00391_L_00033_Cl_00519,9.254714497457712,13.760559822453615,7.880052757413409,6.557983047484868,13.901349487452137,15.091822407326845,11.156142407490108,13.341226045033068,10.702383979869694,6.662745427467485,10.565154122462843,6.387619934918121,13.60642009495848,13.58625600997101,14.919690866224187,458362.59479767864,11.03365252
B_00391_L_00069_Cl_00519,11.613465035084403,16.414281167564013,10.496181832579055,10.114966797600005,16.81412542249717,18.486671452460826,15.024665475077654,16.747488687668408,13.235362402568569,8.846289180030169,13.585279620023982,8.648336775099494,15.490277377470534,17.13125513763117,18.835159585810857,458360.8804206162,14.57531273
B_00394_L_00046_Cl_00519,33.725320702573924,39.61034388500849,34.07017713247399,34.3092345525821,36.88060844507817,38.13856522495428,33.796461005001106,35.806047324985,36.435895430035146,29.483307124999953,36.40940802743245,29.779026540056748,39.412009332481546,40.969918642519474,41.1465063610612,775611.1713602812,38.4182106
B_00401_L_00146_Cl_00443,8.204714355008491,13.045610167594077,7.009831992538693,5.950450725138126,13.562162519876892,16.095822407645528,8.004336662544347,12.399341014993865,10.3326980025264,6.069556500099225,10.288058279991219,5.080720665210379,14.14986207765594,14.153259362682888,15.571310414042614,1288766.8619702423,13.66398193
B_00427_L_00046_Cl_00519,31.41165729503058,37.23965265003301,32.068869420044166,31.84052091497051,34.622724139975105,36.198852912377504,31.37017076003559,33.65244724507022,34.36177952005352,27.655021870049268,34.06351810248481,27.504183420026322,37.815162392601565,38.58256665503205,39.08771531123932,36.43011164314203,36.01723245
B_00427_L_00072_Cl_00477,19.46357976757554,23.784529080175503,20.380664115008926,20.44456306775544,25.84009922760515,28.240900422539426,27.51855756253633,27.709706612648688,21.588379480093067,17.34225577775419,22.02612410756558,16.764507742672095,24.79771505258384,24.338738335075618,27.094755887832775,1247719.4337437553,23.2497786
