flag,group,n,mean_s2,median_s2,p95_s2,max_s2,high_s2_n,high_s2_frac,mean_abs_bep_residual,median_abs_bep_residual,summary_block,observed_mean_diff,permutation_p,n_perm,high_s2_outlier,total_outlier,high_s2_non_outlier,total_non_outlier,risk_ratio_high_s2,metric,value
bep_outlier_2sigma,False,8792.0,0.7643082347588717,0.7643,0.7721449999999999,0.8248,8.0,0.0009099181073703367,2.7898639702861905,2.4306233944761217,group_summary,,,,,,,,,,
bep_outlier_2sigma,True,445.0,0.7635712359550563,0.7622,0.77526,0.8323,8.0,0.017977528089887642,12.367077789390915,11.327242339222929,group_summary,,,,,,,,,,
bep_outlier_top5pct,False,8775.0,0.7643091054131055,0.7643,0.7721,0.8248,7.0,0.0007977207977207978,2.7785139023255527,2.4224849413823755,group_summary,,,,,,,,,,
bep_outlier_top5pct,True,462.0,0.7635818181818183,0.7621,0.775365,0.8323,9.0,0.01948051948051948,12.230247078200053,11.205150931370625,group_summary,,,,,,,,,,
bep_outlier_2sigma,,,,,,,,,,,permutation_test,-0.0007369988038153918,0.004899510048995101,10000.0,,,,,,,
bep_outlier_top5pct,,,,,,,,,,,permutation_test,-0.0007272872312872325,0.0046995300469953,10000.0,,,,,,,
bep_outlier_2sigma,,,,,,,,,,,risk_ratio,,,,8.0,445.0,8.0,8792.0,19.7152466367713,,
bep_outlier_top5pct,,,,,,,,,,,risk_ratio,,,,9.0,462.0,7.0,8775.0,24.009215262778977,,
,,,,,,,,,,,correlation,,,,,,,,,pearson_abs_residual_vs_s2_before,-0.0019278038348076274
,,,,,,,,,,,correlation,,,,,,,,,spearman_abs_residual_vs_s2_before,-0.0036793235572999605
