B_type,Cl_type,LB_type,missing_count,missing_fraction
R2BH,CCl,Phosphine,591,0.1956953642384106
R2BH,CCl,Amine/Aryl N,398,0.1317880794701987
RBH2,CCl,Amine/Aryl N,338,0.1119205298013245
R2BH,CCl,NHC,244,0.08079470198675497
RBH2,CCl,Phosphine,205,0.06788079470198675
RBH2,CCl,NHC,186,0.06158940397350993
BH3,CCl,Amine/Aryl N,120,0.039735099337748346
R2BH,CCl2,Amine/Aryl N,113,0.03741721854304636
BH3,CCl2,Amine/Aryl N,111,0.036754966887417216
R2BH,CCl2,Phosphine,105,0.0347682119205298
R2BH,CCl3,Phosphine,91,0.030132450331125826
RBH2,CCl2,Amine/Aryl N,82,0.027152317880794703
RBH2,CCl3,Amine/Aryl N,73,0.024172185430463577
R2BH,CCl3,Amine/Aryl N,64,0.02119205298013245
R2BH,CCl3,NHC,58,0.019205298013245033
BH3,CCl3,Amine/Aryl N,47,0.015562913907284768
R2BH,CCl2,NHC,27,0.008940397350993378
RBH2,CCl2,Phosphine,26,0.008609271523178808
RBH2,CCl3,NHC,25,0.008278145695364239
BH3,CCl,Phosphine,21,0.00695364238410596
