name,status,output_file,normal_termination,imaginary_frequency_count,atom_order_matches,error
B_00388_L_00001_Cl_00475,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00388_L_00001_Cl_00475.log,True,1,True,
B_00388_L_00001_Cl_00477,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00388_L_00001_Cl_00477.log,True,1,True,
B_00388_L_00001_Cl_00490,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00388_L_00001_Cl_00490.log,True,1,True,
B_00388_L_00001_Cl_00506,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00388_L_00001_Cl_00506.log,True,1,True,
B_00388_L_00001_Cl_00519,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00388_L_00001_Cl_00519.log,True,1,True,
B_00388_L_00069_Cl_00490,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00388_L_00069_Cl_00490.log,True,1,True,
B_00388_L_00072_Cl_00490,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00388_L_00072_Cl_00490.log,True,1,True,
B_00388_L_00072_Cl_00519,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00388_L_00072_Cl_00519.log,True,1,True,
B_00391_L_00033_Cl_00477,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00391_L_00033_Cl_00477.log,True,1,True,
B_00391_L_00033_Cl_00519,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00391_L_00033_Cl_00519.log,True,1,True,
B_00391_L_00069_Cl_00519,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00391_L_00069_Cl_00519.log,True,1,True,
B_00394_L_00046_Cl_00519,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00394_L_00046_Cl_00519.log,True,1,True,
B_00401_L_00146_Cl_00443,not_normal_termination,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00401_L_00146_Cl_00443.log,False,-1,True,
B_00427_L_00046_Cl_00519,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00427_L_00046_Cl_00519.log,True,1,True,
B_00427_L_00072_Cl_00477,ready,E:\work\B_Cl_Nu\Benchmark_new\OPT_6-31plusGd\B_00427_L_00072_Cl_00477.log,True,1,True,
