name,B_atom_1based,Cl_atom_1based,C_atom_1based,B_Cl_631gd_A,B_Cl_631plusgd_A,delta_B_Cl_A,abs_delta_B_Cl_A,C_Cl_631gd_A,C_Cl_631plusgd_A,delta_C_Cl_A,abs_delta_C_Cl_A
B_00388_L_00001_Cl_00475,1,2,19,2.58857856524097,2.5939775616454352,0.005398996404465173,0.005398996404465173,1.9317840896756553,1.937903988222327,0.00611989854667172,0.00611989854667172
B_00388_L_00001_Cl_00477,1,2,18,2.5936172851806805,2.590243531541002,-0.0033737536396785117,0.0033737536396785117,1.9016428367861298,1.9087875624230686,0.007144725636938798,0.007144725636938798
B_00388_L_00001_Cl_00490,1,2,19,2.6073030988157093,2.6248187251141744,0.017515626298465037,0.017515626298465037,1.8788858539767657,1.8697936239256459,-0.00909223005111981,0.00909223005111981
B_00388_L_00001_Cl_00506,1,2,19,2.842013693887839,2.8237253215438645,-0.0182883723439744,0.0182883723439744,1.9698600688521002,1.9860476741933963,0.016187605341296152,0.016187605341296152
B_00388_L_00001_Cl_00519,1,2,18,2.7610610472564714,2.7434110507366554,-0.017649996519816025,0.017649996519816025,1.948253552945817,1.964079188243183,0.015825635297366025,0.015825635297366025
B_00388_L_00069_Cl_00490,1,2,19,2.4032607571141757,2.4123585385331925,0.009097781419016737,0.009097781419016737,1.9815285175909023,1.9732376441351407,-0.008290873455761627,0.008290873455761627
B_00388_L_00072_Cl_00490,1,2,37,2.412664639766165,2.4228890807123213,0.010224440946156488,0.010224440946156488,1.9736930748675185,1.9701418273200537,-0.003551247547464831,0.003551247547464831
B_00388_L_00072_Cl_00519,1,2,36,2.5181034999296594,2.524021192108141,0.005917692178481371,0.005917692178481371,2.050808346244231,2.0590012906147,0.008192944370469135,0.008192944370469135
B_00391_L_00033_Cl_00477,1,4,27,2.4118307589391503,2.404581284720065,-0.007249474219085172,0.007249474219085172,2.003670767079512,2.0105794014385503,0.006908634359038324,0.006908634359038324
B_00391_L_00033_Cl_00519,1,4,27,2.571728519125998,2.5629764227797724,-0.008752096346225535,0.008752096346225535,2.0639073798099568,2.077563101413288,0.013655721603331283,0.013655721603331283
B_00391_L_00069_Cl_00519,1,4,20,2.4659985313535775,2.4662133182411448,0.00021478688756726427,0.00021478688756726427,2.1303038028180397,2.140140452070845,0.009836649252805252,0.009836649252805252
B_00394_L_00046_Cl_00519,1,8,28,2.550639622605475,2.540304425731294,-0.01033519687418094,0.01033519687418094,2.036652214294085,2.0535775991517826,0.01692538485769779,0.01692538485769779
B_00427_L_00046_Cl_00519,1,5,25,2.5762978662095732,2.5684341304890417,-0.007863735720531562,0.007863735720531562,2.051934635741597,2.0660889306830432,0.014154294941446377,0.014154294941446377
B_00427_L_00072_Cl_00477,1,5,43,2.3438912644312238,2.347409841947929,0.003518577516705257,0.003518577516705257,2.0639314401699487,2.0707386098329748,0.00680716966302608,0.00680716966302608
