name,eng_log_file,reference_eng_log_file,energy_631gd_hartree,energy_631plusgd_hartree,signed_deviation_hartree,absolute_deviation_hartree,signed_deviation_kcal_mol,absolute_deviation_kcal_mol
B_00388_L_00001_Cl_00519,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00388_L_00001_Cl_00519.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00519_0000.log,-931.851369196,-931.850670768,0.000698427999964224,0.000698427999964224,0.43826356997755056,0.43826356997755056
B_00394_L_00046_Cl_00519,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00394_L_00046_Cl_00519.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00394_Nu_00046_Cl_00519_0000.log,-1237.83810846,-1237.83742747,0.0006809900000916969,0.0006809900000916969,0.4273212250575398,0.4273212250575398
B_00388_L_00001_Cl_00506,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00388_L_00001_Cl_00506.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00506_0000.log,-818.540835597,-818.540212172,0.0006234249999579333,0.0006234249999579333,0.39119918747360316,0.39119918747360316
B_00427_L_00072_Cl_00477,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00427_L_00072_Cl_00477.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00427_Nu_00072_Cl_00477_0000.log,-1991.13992563,-1991.13939421,0.0005314200000157143,0.0005314200000157143,0.33346605000986074,0.33346605000986074
B_00391_L_00033_Cl_00519,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00391_L_00033_Cl_00519.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00391_Nu_00033_Cl_00519_0000.log,-1178.87344769,-1178.87294216,0.0005055299998275586,0.0005055299998275586,0.31722007489179305,0.31722007489179305
B_00427_L_00046_Cl_00519,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00427_L_00046_Cl_00519.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00427_Nu_00046_Cl_00519_0000.log,-1123.51228422,-1123.51179526,0.0004889599999842176,0.0004889599999842176,0.30682239999009653,0.30682239999009653
B_00388_L_00072_Cl_00519,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00388_L_00072_Cl_00519.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00072_Cl_00519_0000.log,-1454.36480157,-1454.36441187,0.0003897000001416018,0.0003897000001416018,0.24453675008885511,0.24453675008885511
B_00391_L_00069_Cl_00519,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00391_L_00069_Cl_00519.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00391_Nu_00069_Cl_00519_0000.log,-1294.64824201,-1294.64790619,0.00033582000014575897,0.00033582000014575897,0.21072705009146375,0.21072705009146375
B_00388_L_00001_Cl_00477,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00388_L_00001_Cl_00477.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00477_0000.log,-1351.91244403,-1351.91214931,0.00029472000005625887,0.00029472000005625887,0.18493680003530244,0.18493680003530244
B_00388_L_00001_Cl_00475,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00388_L_00001_Cl_00475.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00475_0001.log,-777.978637188,-777.978382323,0.0002548649999880581,0.0002548649999880581,0.15992778749250647,0.15992778749250647
B_00388_L_00072_Cl_00490,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00388_L_00072_Cl_00490.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00072_Cl_00490_0000.log,-1360.41124644,-1360.41140558,-0.00015914000005068374,0.00015914000005068374,-0.09986035003180405,0.09986035003180405
B_00391_L_00033_Cl_00477,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00391_L_00033_Cl_00477.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00391_Nu_00033_Cl_00477_0000.log,-1598.93216186,-1598.93206894,9.292000004279544e-05,9.292000004279544e-05,0.058307300026854136,0.058307300026854136
B_00388_L_00001_Cl_00490,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00388_L_00001_Cl_00490.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00001_Cl_00490_0000.log,-837.90018833,-837.900102536,8.579400002872717e-05,8.579400002872717e-05,0.0538357350180263,0.0538357350180263
B_00388_L_00069_Cl_00490,E:\work\B_Cl_Nu\Benchmark_new\ENG_6-31plusGd\B_00388_L_00069_Cl_00490.log,E:\work\B_Cl_Nu\Sum\TS_ENG\B_00388_Nu_00069_Cl_00490_0000.log,-1124.53451794,-1124.53447579,4.214999989926582e-05,4.214999989926582e-05,0.026449124936789303,0.026449124936789303
