name,all_atom_rmsd_A,delta_B_Cl_A,delta_C_Cl_A,delta_B_Cl_C_angle_deg
B_00427_L_00072_Cl_00477,1.3589579863589776,0.003518577516705257,0.00680716966302608,0.9867229590068121
B_00388_L_00001_Cl_00519,0.8786484852795485,-0.017649996519816025,0.015825635297366025,1.0956860660734833
B_00388_L_00072_Cl_00490,0.19067366856042697,0.010224440946156488,-0.003551247547464831,4.241727676983942
B_00388_L_00069_Cl_00490,0.16381230269695532,0.009097781419016737,-0.008290873455761627,1.8460150380311404
B_00394_L_00046_Cl_00519,0.06969691576908045,-0.01033519687418094,0.01692538485769779,0.9543366179790667
B_00391_L_00069_Cl_00519,0.056014439253431636,0.00021478688756726427,0.009836649252805696,0.3443703694531166
B_00391_L_00033_Cl_00477,0.046556778103324856,-0.007249474219085172,0.006908634359038768,-0.11331363099321834
B_00388_L_00001_Cl_00506,0.03847419124297059,-0.018288372343974846,0.016187605341296152,0.5292536697526486
B_00391_L_00033_Cl_00519,0.036740295240821494,-0.008752096346225535,0.013655721603331283,0.6384855460466952
B_00388_L_00072_Cl_00519,0.026618663959593943,0.005917692178481371,0.008192944370469135,-0.3188543736321492
B_00388_L_00001_Cl_00475,0.022500737333012735,0.005398996404465173,0.00611989854667172,0.4235849560019176
B_00388_L_00001_Cl_00490,0.021005218771802073,0.017515626298465037,-0.00909223005111981,0.38844879401978005
B_00427_L_00046_Cl_00519,0.020307327640830736,-0.007863735720531562,0.014154294941446377,0.2942809125863164
B_00388_L_00001_Cl_00477,0.015133256000822127,-0.0033737536396785117,0.007144725636938798,0.012391044230554371
